primary_category,secondary_categories,confidence,rationale,call_id,reasoning_for_secondary_categories
Feature Gaps & Roadmap Requests,['Compliance & Audit Preparation'],0.95,"Victor explicitly requests hierarchical role inheritance and session timeout policy features not currently available in Aegis Identity, asks about roadmap timing, and describes manual workarounds—textbook feature gap discussion—though the SOC 2 audit context provides secondary compliance relevance.",01KQ65D43540846FA994B6C4,
Internal Sprint & Development Planning,[],0.95,"This is an internal engineering team call covering pre-launch deployment planning, infrastructure dry-runs, QA test results, code review status, and technical readiness for a GA release—all core sprint/development planning activities.",01KQ68FB3E9E60C4477CDAB4,
Integration & Technical Configuration,['Platform Reliability & Outages'],0.92,"The call centers on troubleshooting and resolving an LDAP/Active Directory integration failure (SSL certificate trust issue with the Aegis Identity connector), which is the core technical problem being diagnosed and fixed, though the customer's frustration references a prior Detect outage affecting their overall confidence.",01KQ6A5CEAAFFBE3B0099E75,
Renewal Risk & Churn Prevention,"['Platform Reliability & Outages', 'Compliance & Audit Preparation']",0.95,"Catherine explicitly states they are having 'serious conversations internally about whether Aegis is still the right fit' and discloses active evaluation of competitor Fortiguard Pro, making this fundamentally a renewal-at-risk conversation despite also discussing the March outage and compliance gaps that triggered the risk.",01KQ6CAA850EAFDC48B52846,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.95,"This is a 30-day post-incident review of the March 10-18 Detect module outage covering root cause analysis, remediation (redundant nodes and circuit breaker pattern), and post-incident customer communication needs, with secondary renewal risk concerns for Meridian Financial and Treswick Healthcare accounts impacted by the outage.",01KQ764171AC27A3A94DC695,
Billing & Licensing Issues,[],0.95,"The call centers on resolving a $1,400 invoice discrepancy caused by overage charges from a backup policy change, requiring billing investigation and potential adjustment through the account manager.",01KQ773D68723289E4A98889,
New Customer Onboarding & Implementation,['Integration & Technical Configuration'],0.95,"This is a classic onboarding planning call covering deployment sequencing, timeline expectations (roughly one month), environment scoping (CloudPrime and Azure), IAM permissions setup, and kickoff logistics for a new Detect module rollout at Brightpath.",01KQ77F2867FC54E13A8C495,
Cross-Functional Business Reviews,"['Platform Reliability & Outages', 'Internal Sprint & Development Planning']",0.95,"This is a company-wide all-hands meeting reviewing strategic priorities across departments including the March outage retrospective, Comply v2 product launch metrics and competitive positioning, and Q2 roadmap prioritization decisions.",01KQ7B802912366FC0A24D4F,
Platform Reliability & Outages,"['Compliance & Audit Preparation', 'Renewal Risk & Churn Prevention']",0.98,"This call centers on a 15+ hour platform-wide outage of the Detect event processing pipeline with no ETA for resolution, including discussion of cascading failure root cause and lack of proactive incident communication—textbook platform reliability issue with explicit renewal risk warning at the end.",01KQ7BF0D56037FF89DC89B6,"{'Compliance & Audit Preparation': 'Isaac explicitly raises PCI compliance obligations and fraud monitoring requirements being compromised by the outage, making compliance exposure a significant secondary concern.', 'Renewal Risk & Churn Prevention': ""Isaac's closing statement 'the future of the contract depends on how the situation is handled in the next 24 hours' directly signals renewal risk, though the primary driver is the outage itself.""}"
Cross-Functional Business Reviews,['Feature Gaps & Roadmap Requests'],0.92,"This is an internal leadership call reviewing competitive positioning across multiple product lines (Detect, Protect, Comply) and identifying strategic gaps like the LogVault connector experience that Jordan plans to escalate to leadership at next week's product review meeting.",01KQ7F58A2E07B857C24624D,
Renewal Risk & Churn Prevention,"['Platform Reliability & Outages', 'Compliance & Audit Preparation']",0.95,"Customer explicitly states they're evaluating competitor SentinelShield with two demos completed, renewal is at risk due to March 10th outage and compliance reporting pain, and CSM is working to identify conditions needed to retain the account.",01KQ7FA71CF70FAFEE4B6251,
Compliance & Audit Preparation,['Feature Gaps & Roadmap Requests'],0.95,"The call centers on preparing for an upcoming HIPAA audit, addressing compliance framework gaps, and discussing evidence collection automation across SOC 2 and HIPAA—core compliance and audit readiness topics—while also covering the customer's need for multi-framework support features coming in Comply v2.",01KQ85D10E82A26A8F754FB8,
Platform Reliability & Outages,"['Compliance & Audit Preparation', 'Renewal Risk & Churn Prevention']",0.95,"This call centers on a 9-10 hour platform-wide Detect outage with no proactive customer notification, including incident response discussion and commitment to post-incident documentation—the core definition of Platform Reliability & Outages—while the SOC 2 audit impact and Frank's competitor evaluation are significant secondary concerns.",01KQ88B8EAEAA819C26CCBE7,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.95,"This is a post-incident review call addressing a six-hour outage in the threat monitoring pipeline, discussing root cause (single point of failure), remediation steps (redundant nodes, circuit breakers), and delayed alerting—core reliability topics—though the customer's disclosure of competitive evaluation and vendor review also signals renewal risk.",01KQ8C5A044F54EE1774D53C,
Feature Gaps & Roadmap Requests,['Platform Reliability & Outages'],0.95,"Sandra explicitly requests two missing features (granular alerting thresholds by entity type and pipeline health visibility), Rachel discusses product roadmap timing and plans to escalate to the product team, which is the defining pattern of feature gap discussions; the March outage mention is secondary context for one feature request.",01KQ8D9A06510DD623EFB1A6,
Feature Gaps & Roadmap Requests,['Compliance & Audit Preparation'],0.95,"Warren explicitly requests a custom compliance template feature not currently available in Aegis Comply v2, and Priya confirms it's on the near-term roadmap while enrolling him in the early access program and providing workarounds—textbook feature gap discussion with roadmap timing and feature request logging.",01KQ92EA85FE4C537400227D,
Platform Reliability & Outages,[],0.98,"This call addresses a complete platform outage where the Detect module's event ingestion pipeline failed, causing 24-hour monitoring gaps across multiple customer accounts, with active incident response and engineering investigation underway.",01KQ94C2B8B9B4668F3D3491,
Platform Reliability & Outages,['Integration & Technical Configuration'],0.95,"This call addresses a critical system issue (TOTP validation failures with error 4031) affecting 40-45 users since 7 AM, with the support agent escalating it as a P1 business-critical incident and implementing a temporary workaround while investigating root cause on Aegis's validation service.",01KQ9772B2348F500FB09D1E,
Feature Gaps & Roadmap Requests,['Compliance & Audit Preparation'],0.95,"Keith explicitly requests a cross-framework control mapping report feature that doesn't exist in Aegis Comply, David confirms it's a known gap with no native solution, and commits to escalating a formal feature request to the product team while discussing potential beta access.",01KQ9A6BE09D73A9BB5798C7,
New Customer Onboarding & Implementation,['Compliance & Audit Preparation'],0.98,"This is a textbook onboarding kickoff call covering initial deployment planning, infrastructure discovery (hybrid CloudPrime + on-prem setup), timeline discussion (4-6 week three-phase process), and next steps including technical discovery scheduling and access provisioning.",01KQ9BB82FD97C9607D57E90,
Cross-Functional Business Reviews,[],0.95,"This is an internal leadership call reviewing company-wide metrics (38-39% adoption vs 25% benchmark), product launch performance across departments (engineering, design, support, customer success), and strategic outcomes of the Comply v2 launch including cross-sell opportunities.",01KQ9BCA1794C9472726FFAD,
Cross-Functional Business Reviews,"['Platform Reliability & Outages', 'Compliance & Audit Preparation']",0.92,"This is a cross-functional leadership call reviewing competitive positioning strategy, discussing the March outage's business impact on deals, and aligning on company-wide response tactics across product, sales, and engineering teams.",01KQA0F0BE68E74D66EB4171,
New Customer Onboarding & Implementation,"['Compliance & Audit Preparation', 'Integration & Technical Configuration']",0.95,"This is an onboarding strategy workshop for a new customer (Vanta Health) where the team is assessing the customer's environment, discussing implementation approach, and planning phased deployment of Aegis Protect—classic initial deployment planning and kickoff activities.",01KQA1AFDC1306A000B0C7D9,
Positive Renewal & Expansion,['Compliance & Audit Preparation'],0.95,"This is a healthy Q1 business review where the customer expresses strong satisfaction with the platform, highlights successful outcomes with Detect and Protect modules, and explicitly indicates positive renewal outlook with interest in the upcoming Comply v2 release to strengthen their ROI case.",01KQA502E222E2A60330237B,
Platform Reliability & Outages,['Integration & Technical Configuration'],0.92,"This call addresses a two-week service degradation issue where backup throughput dropped from ~800 MB/s to ~180-220 MB/s, causing production performance impact and requiring P1 escalation to infrastructure team with root cause analysis scheduled.",01KQA7DFCE1285F52192B34B,
Internal Sprint & Development Planning,[],0.95,"This is an internal engineering team quarterly planning call covering sprint capacity, feature prioritization (backup performance, restore UX redesign), deployment strategy (canary rollout), technical debt allocation, and roadmap scoping for the Protect product team.",01KQAC572C34475A8791F2C3,
Platform Reliability & Outages,['Integration & Technical Configuration'],0.95,"This call addresses a four-day SSO outage affecting 38-42% of users caused by a regression from a February 9th patch, with root cause analysis identifying SAML NameID format handling issues and a workaround being provided while a permanent fix is developed.",01KQADC32D89E2B76B698E84,
Cross-Functional Business Reviews,['Internal Sprint & Development Planning'],0.95,"This is a company-wide all-hands call reviewing February performance across product, QA, and customer success departments, including product launch timelines (Comply v2 GA), customer metrics (91% renewal rate, competitive loss to VaultEdge), and strategic priorities for March.",01KQADF3D76E82BF8BA19AF2,
Positive Renewal & Expansion,['Billing & Licensing Issues'],0.92,"Derek explicitly states they're not shopping around aggressively and are focused on validating the value story internally, with clear renewal timeline and pricing discussion for a satisfied customer whose main concern is CFO sign-off, though the data growth from 14TB to 17.5TB affecting tier pricing adds a billing dimension.",01KQAEA50436D047BC39CFC7,
Compliance & Audit Preparation,['Feature Gaps & Roadmap Requests'],0.95,"The call centers on SOC 2 audit preparation needs, evidence collection automation, compliance framework mapping, and the Comply module's capabilities—Nathan is explicitly preparing for a Q2 auditor engagement and discussing how to streamline his manual audit process.",01KQAFB8DBF6E1E2FDEF0B75,
Internal Sprint & Development Planning,['Compliance & Audit Preparation'],0.95,"This is an internal engineering design review covering architecture decisions, latency benchmarks, evidence store design, and GA timeline validation for Comply v2—core sprint/development planning activities—with compliance frameworks as the product domain rather than a customer-facing compliance discussion.",01KQB3B16F255B65F39597D0,
Billing & Licensing Issues,[],0.98,"The call centers on a billing discrepancy where Silverline Brands was overbilled $255 due to incorrect proration calculation on their Comply v2 license upgrade, requiring a billing adjustment and credit.",01KQB632F1ADC378C42F2C03,
Compliance & Audit Preparation,['New Customer Onboarding & Implementation'],0.95,"The call centers on PCI DSS audit preparation, evidence collection automation, and Comply v2's compliance reporting capabilities, with Gerald explicitly stating they're in audit prep with a QSA assessment scheduled for June.",01KQB95605C6F873C6036285,
Integration & Technical Configuration,['Platform Reliability & Outages'],0.92,"The call centers on troubleshooting a third-party integration (LogVault SIEM connector) experiencing technical configuration issues with connection timeouts and data loss, requiring diagnostic analysis of connector version 3.4.1 and configuration parameters.",01KQBB7C4D4789DB2F3DA9C2,
Platform Reliability & Outages,['Compliance & Audit Preparation'],0.95,"This call addresses both an active service degradation issue (20-45 minute alert delays caused by overloaded infrastructure post-outage) and post-incident customer communication failure regarding the March 10-18 outage, with the customer discovering a six-hour visibility gap only during this support call—both core elements of platform reliability and incident response.",01KQBBF753B44DE677670E6D,
Renewal Risk & Churn Prevention,['Platform Reliability & Outages'],0.95,"Robert explicitly states the contract renewal is at risk due to the six-hour Detect outage and outlines specific conditions required to justify renewal (formal post-mortem, updated SLA language, configuration review), making this fundamentally an account recovery effort despite the technical discussion of the incident.",01KQC1267BEB344076DD7656,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.92,"The call centers on persistent policy sync delays and provisioning issues traced to a sync worker queue backup potentially related to a mid-March Detect incident, with Sarah investigating tenant logs and offering escalation plus infrastructure migration—classic reliability/incident troubleshooting—while Derek's frustration over the 5-day response gap and explicit renewal concerns warrant the secondary category.",01KQC166F678CBA584AAFF8B,
New Customer Onboarding & Implementation,['Integration & Technical Configuration'],0.95,"This is explicitly an onboarding kickoff call for a new customer deploying the Aegis Identity module, with timeline discussions, technical setup planning, and next steps established including Okta API token setup and user attribute mapping.",01KQC3A2EBC501837E973B16,
Feature Gaps & Roadmap Requests,['Integration & Technical Configuration'],0.92,"Paula requests multiple features not yet available (granular session timeout policies by device group, better shared workstation session management) and Daniel confirms these are being scoped but can't commit to timelines, which is the defining pattern of roadmap request calls.",01KQCA6EA8B603EBB6C9FE34,
Internal Sprint & Development Planning,[],0.95,"This is an internal engineering team call conducting final pre-launch checklist review, covering QA sign-off, bug triage, story resolution status, and development capacity allocation for a product release.",01KQCF9872BF130D33B1B5EC,
Internal Sprint & Development Planning,['Platform Reliability & Outages'],0.92,"This is an internal engineering team call focused on technical architecture issues, load testing results, backlog prioritization, and estimating development effort to fix scalability problems—core sprint planning activities—though the performance degradation risk gives it a secondary reliability dimension.",01KQD1270E98A7DFC55ADCF8,
Positive Renewal & Expansion,['Platform Reliability & Outages'],0.92,"Wayne expresses overall satisfaction ahead of May renewal, calls Comply module 'the biggest win,' and the call concludes with alignment on flat renewal pricing plus a planned Identity module discovery call—textbook healthy renewal with expansion interest, despite brief discussion of the March outage.",01KQD199788883B6F18C81E8,
Positive Renewal & Expansion,['Compliance & Audit Preparation'],0.95,"Philip expresses strong satisfaction with Aegis products, cites 40-50 hours saved per quarter on audit prep, and the call concludes with agreement to proceed on renewal at existing rates with a three-year lock, plus discussion of adding the Detect module—classic healthy renewal with expansion opportunity.",01KQD4D9DEBA2D55AC2AA9F5,
Platform Reliability & Outages,['Integration & Technical Configuration'],0.95,"This call addresses a three-day platform-level outage in Aegis's backup orchestration infrastructure causing 100% API failure rate, with the support agent investigating root cause and committing to incident documentation and remediation timeline.",01KQDD5172176D02DB51360A,
Platform Reliability & Outages,['Internal Sprint & Development Planning'],0.98,"This is a post-incident root cause analysis of a six-hour cascading failure in the event ingestion pipeline, with the team identifying technical causes (single point of failure, no circuit breaker, inadequate health checks) and discussing remediation plans.",01KQE110900B8A65D80AE694,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.98,"The call centers on a complete dashboard outage with cascading event processing pipeline failure requiring P1 incident escalation and root cause analysis, with Lauren explicitly mentioning competitor evaluation (SentinelShield) as a direct consequence of the reliability issue.",01KQEDB92E33CF9945A7F71B,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.92,"The call centers on a service degradation issue caused by patch 4.2.1 resetting behavioral detection baselines and generating 300+ false positive alerts, requiring incident remediation through baseline restoration—a clear platform reliability problem with the customer explicitly mentioning they're evaluating other vendors at renewal time.",01KQEDE682B4A8D67C657CF1,
Internal Sprint & Development Planning,['Platform Reliability & Outages'],0.95,"This is an internal engineering sprint retrospective covering story completion, technical implementation review, performance metrics against targets, and planning for knowledge sharing and future work—classic sprint planning content—though the sprint itself was focused on reliability improvements after a March outage.",01KQF9600A904ADE8605B3F0,
Compliance & Audit Preparation,['Platform Reliability & Outages'],0.98,"This is a final walk-through of SOC 2 Type II audit materials before submission to auditors, covering compliance frameworks, evidence collection, and audit readiness—the core definition of the Compliance & Audit Preparation category—with secondary mention of the March Detect outage's documentation in the incident response section.",01KQFEEFFF8E80B0DFD10880,
Positive Renewal & Expansion,['Platform Reliability & Outages'],0.92,"Julia expresses strong satisfaction with the platform, praises Protect's DR performance, and shows interest in expanding to Identity and Comply v2, making this clearly a healthy renewal discussion with upsell opportunity; the January incident discussion is secondary context addressed transparently but doesn't drive the call's purpose.",01KQFFC0F889AE8CFEE7A00D,
