customer_sentiment,urgency,resolution_status,trajectory,rationale,call_id
,0.85,open_with_plan,improving,Internal team coordinating response to day-three outage affecting 112 customer cases with clear remediation timeline (end of day/tomorrow) but still processing retroactive threat analysis and managing credibility concerns.,01KQ03B0303900521BB089CA
0.4,0.3,open_with_plan,improving,Customer started frustrated about unexpected billing charges but became collaborative after Sarah identified the root cause (test accounts from migration) and outlined a clear billing adjustment process plus self-service remediation steps.,01KQ0C1280EDA4E70AAD7C35
,0.3,open_with_plan,stable,"Internal engineering standup with moderate timeline pressure on Detect reliability work (60-40 odds of hitting end-of-March deadline), but team proactively identified risks and assigned Tyler to investigate Kafka uncertainty to improve delivery confidence.",01KQ0CAE7F064EC93F0540CA
0.75,0.4,open_with_plan,improving,"Customer started with pressure from CISO but became increasingly positive about Comply v2's capabilities, ending with concrete next steps scheduled for ISO 27001 preparation with an 8-month runway.",01KQ0DFE299AC7A74E8022CA
0.3,0.4,open_with_plan,improving,"Customer started with serious concerns about March outage and is evaluating competitors, but by call's end is engaging constructively on renewal planning, product features, and next steps including technical documentation review and compliance specialist connection.",01KQ0F8AFF3DA34FD4580008
,0.65,open_with_plan,stable,Internal audit prep call with moderate time pressure (3 days until observation period) identified several gaps but assigned clear owners and action items for each issue before the March 1st deadline.,01KQ1267C6AA7D9B3125FEC8
0.3,0.7,open_with_plan,improving,Customer started frustrated about three-week-old backup performance issue but became cautiously optimistic after support identified likely root cause (outdated agent version) and provided clear upgrade path with follow-up commitment.,01KQ1A6B7E81B06F4A13B60D
0.3,0.4,open_with_plan,improving,"Customer started with billing concerns about unexpected overage charges but became receptive after receiving clear explanations, cost comparisons, and a concrete follow-up plan including pricing documentation by end of week.",01KQ1DC6CA536DE1B31ED8F5
-0.3,0.75,open_with_plan,improving,"Customer started frustrated about a 6-hour outage and is evaluating competitors, but Maria's concrete offers (technical remediation report, engineering call, service credit, and timely v2 product launch addressing their compliance needs) are shifting the conversation from complaint to negotiation.",01KQ1DCC80852AE384C898C9
,0.4,open_with_plan,stable,Internal launch readiness review with moderate time pressure (April 7th deadline) but clear action items assigned and dependencies being actively managed across teams.,01KQ1DE954A807A5D2653175
-0.4,0.85,open_with_plan,improving,"Customer (Meridian Capital) is actively evaluating competitors after a 6-hour outage but engaged constructively with technical explanations and timeline commitments, moving from initial anger toward cautious willingness to see fixes implemented by end of March.",01KQ2217B066855A3B7814CB
,0.95,open_with_plan,deteriorating,"Critical product outage with 47+ customer tickets, enterprise accounts threatening to churn, SLA breach exposure, and team discovering their monitoring product failed to monitor itself—clear action items assigned but underlying customer trust issues remain unresolved.",01KQ2331EFD78BF3B1CAB747
-0.3,0.5,open_with_plan,stable,"Customer confirmed a product gap that forced a painful two-hour workaround incompatible with their 15-minute RTO requirements, but remained professional and engaged constructively in documenting a feature request with no immediate resolution timeline.",01KQ25D8AED944B5D2A9FF60
,0.75,open_with_plan,stable,"Internal team is under high pressure from competitive threats post-outage with clear action items (counter-narrative, transparency strategy, technical fixes deployed), but facing 30-60 day timeline challenge and active customer escalations including potential liability issues.",01KQ298F2846EFE59B0D70E2
0.75,0.4,open_with_plan,improving,"Customer started with pain around manual audit prep and grew increasingly positive throughout the call, ending enthusiastically requesting a demo with clear next steps and comfortable timeline for their Q2 audit.",01KQ2B4878EC7B3EE5547007
-0.7,0.95,open_with_plan,stable,"Customer remains highly negative about a critical multi-hour outage affecting threat visibility, explicitly mentioning competitor evaluation, but Marcus's transparent handling and escalation commitment prevented further deterioration.",01KQ2D93184912F0147315E7
,0.2,open_with_plan,improving,"Internal planning call with positive team energy around Q2 roadmap; no immediate crises, clear priorities established, and team morale appears strong after successful Q1 Comply launch despite lingering concerns about March Detect outage.",01KQ31ED026F745FE2A55CCD
-0.3,0.85,open_with_plan,improving,"Customer started frustrated after 4-day unacknowledged outage but Priya's transparency, ownership, concrete next steps (2-hour update, direct escalation path, account manager involvement), and empathy shifted Paula from anger toward cautious cooperation, though underlying SLA breach concerns remain.",01KQ325BDEDEE927D2970775
-0.3,0.9,open_with_plan,improving,"Customer started extremely negative (threatened churn, competitive evaluation) but Maria's direct accountability, concrete technical fixes, and commitment to executive-level follow-up shifted Grace from anger to cautious willingness to engage, though trust remains damaged.",01KQ351E141926AB7CAB668D
,0.95,open_with_plan,stable,"Critical production outage affecting all enterprise customers with potential data loss, but team has identified root cause and is implementing a stopgap fix within 90 minutes while coordinating customer communications.",01KQ38C4101D6774F2F02331
0.3,0.7,open_with_plan,improving,"Customer started frustrated with a blocking compliance report bug but became more satisfied after Marcus quickly reproduced the issue, provided a CSV workaround, and committed to same-day ETA with clear escalation to engineering.",01KQ38FE02AEE5AA5157F042
0.75,0.6,open_with_plan,improving,"Customer started with audit pain points and compliance deadline pressure, but became increasingly engaged and positive as Aegis demonstrated v2's on-demand reporting capabilities that directly solve their two-week manual evidence gathering problem.",01KQ3BD8DEEBC7FECD107F0F
0.7,0.4,open_with_plan,improving,Customer started concerned about backup failures but became increasingly confident through the call as Sarah provided two concrete troubleshooting paths (endpoint region fix and SCP review) with clear next steps already in progress.,01KQ3C837D7EF689408DCF95
,0.4,open_with_plan,improving,"Internal post-incident review with clear action items assigned (PIR writeup by tomorrow, customer comms by end of week, roadmap review on heartbeat alerts), though some deliverables like UI status indicator remain tentative with April target.",01KQ3CE40428CCC5FF433FFC
0.75,0.1,resolved,improving,"Customer entered satisfied despite March outage concerns, left enthusiastic about renewal with Comply add-on after technical concerns were addressed and promotional pricing offered.",01KQ3D8C1EF16C042F31FAFD
,0.3,resolved,stable,"Internal sprint retrospective with clear action items assigned and no major conflicts, though moderate urgency exists around upcoming Comply v2 integration deadline and incomplete sprint planning.",01KQ3F90FF9EBC3DB3632514
0.75,0.2,open_with_plan,improving,"Customer entered acknowledging past outage concerns but left expressing strong satisfaction with product maturity, transparent incident response, and flexible renewal terms that address their growth needs.",01KQ410FB7E434BA3F99EE7D
0.6,0.4,open_with_plan,improving,"Customer started frustrated with alert fatigue affecting SOC operations but is becoming more positive as Aegis demonstrates concrete tuning solutions (trusted location profiles, IP whitelisting) that directly address their false positive pain points.",01KQ41FB5CCFD9EA583FB020
,0.4,open_with_plan,stable,"Internal engineering standup with moderate urgency around Comply v2 customer-facing bug (3 confirmed, more expected) and post-mortem follow-ups; team has clear action items and timelines for all open issues.",01KQ445B1B5B890316C9E300
,0.6,open_with_plan,stable,"Internal team acknowledges serious Q1 losses (34 deals, $2.1M ACV) tied to March outage and competitive gaps, but commits to specific action items (outage one-pager, competitive benchmarking) with cautious optimism about Comply v2.",01KQ4529010F423FD9DB40BD
0.8,0.3,open_with_plan,improving,"Customer (Dominic) became increasingly enthusiastic throughout the demo, explicitly stating the new features would ""change the dynamic completely"" and asking to share with his audit team, with upcoming PCI audit creating moderate time relevance but no crisis.",01KQ45C0AD36B351A3571940
-0.3,0.65,open_with_plan,improving,"Customer started frustrated about the six-hour outage and is exploring competitors, but showed receptiveness to enhanced SLA, multi-year pricing options, and upcoming CMMC support in Comply v2.",01KQ45C76AF3AEA6B3EA6697
-0.3,0.75,open_with_plan,improving,"Customer started frustrated about March outage and actively evaluating competitor, but ended receptive to technical deep-dive after Aegis acknowledged failures and proposed concrete demonstration of fixes.",01KQ45F6F7349D0A620571F1
,0.95,open_with_plan,stable,"Critical production outage affecting all Detect customers with 4-8 hour ETA, but team established clear incident response plan with 30-minute customer update cadence and role assignments before call ended.",01KQ46A9DE0AECB006D897A0
0.75,0.3,open_with_plan,improving,"Customer (Clearwater Medical) started engaged and became increasingly enthusiastic as specific pain points (audit scrambles, spreadsheet management, setup time) were directly addressed by Comply v2 features, with clear deployment plan established.",01KQ4D01DCB15C69672AB5AF
,0.3,open_with_plan,improving,"Internal planning call where the team successfully aligned on phasing MFA work (rules engine Q2, risk-signals Q3), established process improvements (spec lock, acceptance criteria upfront), and identified actionable blockers (staging tenant) with clear ownership.",01KQ4D504CE09A8F6ECA1F5A
0.7,0.3,open_with_plan,improving,"Customer started with concerns about March outage but was satisfied with technical explanation and redundancy improvements, expressed enthusiasm about Comply v2 features, and proactively requested deeper engagement—sentiment clearly improved from cautious to positive throughout the call.",01KQ4D71CDFB1045A2458216
,0.3,resolved,stable,"Routine sprint planning that identified a significant architectural risk (single point of failure in ingestion) and adjusted scope accordingly, with clear commitments and action items established.",01KQ4EE836687F95080D92AB
0.3,0.3,open_with_plan,stable,"Customer is constructively engaged and providing detailed feedback on pain points (HIPAA reporting, filtering, automation) with Aegis acknowledging issues are on roadmap and committing to follow-up, though customer expresses mild skepticism about timeline.",01KQ51DC4345D9DAE005678C
0.85,0.3,open_with_plan,improving,"Keith went from board-level compliance pressure to discovering a solution that eliminates weeks of manual work and saves his team months of custom development, expressing enthusiasm throughout and specifically wanting to share the recording with his security lead.",01KQ54917E3931712516916D
0.75,0.3,open_with_plan,improving,"Vanessa started with pain points around her current backup system but became increasingly positive as Kevin addressed her concerns about unified visibility, RTO/RPO requirements, and phased onboarding that respects her team's bandwidth constraints.",01KQ560FF1570C5E7F71D752
0.8,0.3,resolved,improving,Customer started with uncertainty about early access timing but became enthusiastic when learning GA release is only 4 days away and fully addresses their multi-framework compliance needs.,01KQ56786DD1E8A1BF174FDD
-0.6,0.75,open_with_plan,improving,"Customer started angry about unexpected $4K charges and March outage, but Sarah's transparency about the missing overage alerts and commitment to escalate internally shifted the tone from confrontational to cautiously collaborative by call's end.",01KQ56AA6B60801ABC01AB1C
-0.6,0.85,open_with_plan,stable,"Customer is frustrated about 4-day data gap and recurring issues post-outage, but Aegis team has identified root cause (circuit breaker threshold) and customer is engaging constructively despite anger.",01KQ56D878454E5783DC6D94
-0.4,0.75,open_with_plan,improving,"Customer started frustrated with MFA enforcement failures and renewal pressure from CISO, but Maria's commitment to same-day escalation and technical specialist involvement shifted tone from venting to cautiously collaborative problem-solving.",01KQ5A966832A146DA4B7D41
0.75,0.6,open_with_plan,improving,"Customer started engaged and became increasingly enthusiastic as technical concerns (phased MFA rollout, PAM capabilities, ServiceNow integration) were directly addressed, with audit-driven compliance deadline creating moderate time pressure.",01KQ5AFAE8264DDC0ED2AE7F
,0.1,resolved,stable,"Routine sprint planning with collaborative problem-solving, clear task assignments, and team consensus on a conservative workload after learning from previous over-commitment.",01KQ5BB8521F99E55470206E
0.3,0.4,open_with_plan,improving,Customer started frustrated about a six-hour outage and single-point-of-failure concerns but became more satisfied after hearing about architectural fixes and receiving commitment for forensic data summary by end of week.,01KQ5D47170D4828E89EDE37
-0.6,0.9,open_with_plan,improving,"Customer started very frustrated about a critical bug affecting 60-70% of users on their busiest day, but by call end accepted the manual workaround and engaged their engineer to implement it with Elena's guidance.",01KQ5EC1665DCFD7A6B62A59
0.6,0.5,open_with_plan,improving,Customer started concerned about compliance gaps but became receptive after learning about API-based workaround options that address their immediate deprovisioning audit requirements while awaiting native SCIM support.,01KQ5F364545B542671FF9CE
0.4,0.3,open_with_plan,stable,Customer is satisfied with current product but frustrated by specific IAM limitations; Aegis team acknowledged gaps honestly and committed to formal product feedback submission with no immediate resolution but clear next steps.,01KQ65D43540846FA994B6C4
,0.3,open_with_plan,stable,"Internal pre-launch planning call with moderate time pressure (6 days to GA) but team is aligned, testing passed, and deployment plan is clear with minor follow-ups identified.",01KQ68FB3E9E60C4477CDAB4
-0.3,0.85,open_with_plan,improving,"Customer remains frustrated about multi-day delay and business impact (200+ users blocked), but tone softened after root cause identified and Marcus took ownership with clear troubleshooting path forward.",01KQ6A5CEAAFFBE3B0099E75
-0.4,0.75,open_with_plan,improving,"Customer started call seriously considering switching vendors due to March outage and compliance gaps, but ended more engaged after learning about Comply v2 launch and Maria's direct acknowledgment of failures plus offer of technical deep-dive.",01KQ6CAA850EAFDC48B52846
,0.3,open_with_plan,improving,"Internal post-mortem shows technical fixes deployed and validated over 30 days with one at-risk customer (Meridian Financial) being actively monitored, but relationship repair still in progress.",01KQ764171AC27A3A94DC695
0.3,0.4,open_with_plan,improving,"Customer started frustrated about unexpected charges but became more understanding once the technical cause (policy change triggering overages) was explained, and accepted the clear next step of account manager review for potential credit.",01KQ773D68723289E4A98889
0.7,0.4,open_with_plan,improving,"Customer started cautiously concerned about timeline and alert fatigue but became noticeably more positive after learning about the observation period feature and native integrations, with clear deployment plan established for their spring deadline.",01KQ77F2867FC54E13A8C495
,0.3,open_with_plan,stable,"Internal all-hands covering post-mortem and planning; team is constructively working through outage lessons and Q2 priorities with clear action items assigned, though some tension exists around capacity and roadmap trade-offs.",01KQ7B802912366FC0A24D4F
-0.7,0.95,open_with_plan,stable,"Customer remains highly dissatisfied about platform-wide outage affecting critical fraud monitoring, explicitly threatening contract review, but support team acknowledged severity, escalated to P1, and committed to incident report with no false promises made.",01KQ7BF0D56037FF89DC89B6
,0.2,open_with_plan,stable,"Routine internal competitive analysis meeting with collaborative tone throughout; team identified specific threats and next steps for product review, no conflicts or concerns escalated.",01KQ7F58A2E07B857C24624D
-0.3,0.75,open_with_plan,improving,"Customer started frustrated about outage and actively evaluating competitor, but Aisha's transparency and concrete solution (Comply v2 preview access) shifted the conversation from defensive to collaborative problem-solving.",01KQ7FA71CF70FAFEE4B6251
0.75,0.6,open_with_plan,improving,"Customer started with pain points around manual compliance processes but became increasingly enthusiastic about Aegis's multi-framework roadmap and native integrations, with clear next steps identified for their Q2 HIPAA audit.",01KQ85D10E82A26A8F754FB8
-0.6,0.9,open_with_plan,improving,"Customer started extremely angry about 9-hour unannounced outage affecting HIPAA compliance and SOC 2 audit, actively considering competitors, but Elena's transparency about the failure, P1 escalation, 30-minute update cadence, and clarification that data is queued (not lost) moved them from threatening churn to cautiously engaged with a clear support plan.",01KQ88B8EAEAA819C26CCBE7
-0.4,0.75,open_with_plan,stable,"Customer experienced a 6-hour outage and is actively evaluating competitor VaultEdge, but remains engaged in problem-solving discussions with technical fixes deployed and tuning sessions planned.",01KQ8C5A044F54EE1774D53C
0.3,0.5,open_with_plan,improving,Customer started frustrated about alert fatigue and March outage but became more collaborative as Rachel acknowledged issues transparently and committed to connecting them with product team on Q3 roadmap items.,01KQ8D9A06510DD623EFB1A6
0.75,0.3,open_with_plan,improving,"Customer started hopeful but uncertain, ended enthusiastic about early access program and interim workarounds, with clear next steps established.",01KQ92EA85FE4C537400227D
-0.6,0.9,open_with_plan,improving,"Customer started very frustrated about 24-hour monitoring blackhole in critical OT environment but became slightly less adversarial after learning it's platform-wide, receiving transparency about the issue, and getting commitment for Sev 1 escalation with 2-hour status update.",01KQ94C2B8B9B4668F3D3491
-0.6,0.85,open_with_plan,stable,"Customer remains frustrated about production impact and hours of downtime, but accepts P1 escalation and temporary workaround despite security concerns; urgency high due to 40+ users locked out of production systems.",01KQ9772B2348F500FB09D1E
0.3,0.4,open_with_plan,stable,"Customer has a legitimate feature gap causing manual work but remains patient and constructive; support agent documented the request and provided a clear escalation path through the account manager, though no timeline was promised.",01KQ9A6BE09D73A9BB5798C7
0.8,0.2,open_with_plan,improving,"Customer (Vanessa) started positive and became increasingly enthusiastic throughout the onboarding kickoff, expressing relief about unified tooling, reasonable timelines, and built-in restore testing, with clear next steps established for the four-to-six week implementation.",01KQ9BB82FD97C9607D57E90
,0.1,resolved,improving,"Internal team celebrating strong Comply v2 launch metrics (38% adoption vs 25% target) with cross-sell momentum and manageable support volume, ending with alignment on exec communication and roadmap priorities.",01KQ9BCA1794C9472726FFAD
,0.65,open_with_plan,improving,"Internal team moved from reactive concern about competitive losses to concrete action items (technical one-pager, battlecard updates, messaging framework) with clear ownership and deadlines.",01KQA0F0BE68E74D66EB4171
0.75,0.3,open_with_plan,improving,"Raymond started with acknowledged pain points around fragmented backup strategy but became increasingly excited about automated recovery testing and is actively engaged in solution design, showing strong positive momentum in the workshop.",01KQA1AFDC1306A000B0C7D9
0.75,0.2,open_with_plan,improving,"Customer started positive about current product experience and became notably more enthusiastic when learning about upcoming Comply v2 features that address a specific pain point (SOC 2 reporting), explicitly stating it ""changes my thinking"" on renewal.",01KQA502E222E2A60330237B
-0.3,0.75,open_with_plan,improving,"Customer started frustrated about two-week delay and lack of proactive communication regarding potential platform changes affecting backups, but David's transparent acknowledgment of failures and active troubleshooting is beginning to rebuild trust despite the unresolved technical issue.",01KQA7DFCE1285F52192B34B
,0.2,resolved,improving,"Internal planning call with positive team dynamics, clear Q2 roadmap established with realistic timelines and no contentious issues, contrasting favorably with previous quarter's difficulties.",01KQAC572C34475A8791F2C3
-0.3,0.85,open_with_plan,improving,"Customer started frustrated about 4-day outage during peak retail period (Valentine's Day) affecting 40% of users, but Aegis acknowledged the gap, explained root cause (Feb 9th update regression), and provided actionable workaround (admin override for local auth) that customer is implementing during the call.",01KQADC32D89E2B76B698E84
,0.2,resolved,stable,"Internal monthly review meeting with routine progress updates, minor concerns flagged but addressed with clear action items, team aligned on March priorities.",01KQADF3D76E82BF8BA19AF2
0.6,0.3,open_with_plan,stable,"Customer is satisfied with product value and not shopping around, renewal timeline is clear with two weeks to finalize terms, and upcoming Comply features directly address their institutional client needs.",01KQAEA50436D047BC39CFC7
0.75,0.4,open_with_plan,improving,"Nathan started with pain around manual SOC 2 prep but became increasingly enthusiastic about Aegis Comply's capabilities (especially multi-framework support and control mapping), ending engaged and asking practical onboarding questions.",01KQAFB8DBF6E1E2FDEF0B75
,0.2,resolved,stable,"Internal design review with collaborative problem-solving, all major technical questions answered satisfactorily, team aligned on v2 scope and April GA timeline with no blockers remaining.",01KQB3B16F255B65F39597D0
0.7,0.3,resolved,improving,"Customer started with a billing concern but David quickly identified the $255 overbilling error, committed to issuing a credit with clear timeline, and Michelle ended by expressing satisfaction with the v2 product features.",01KQB632F1ADC378C42F2C03
0.75,0.6,open_with_plan,improving,"Gerald started stressed about manual PCI audit prep but became increasingly enthusiastic as Ananya demonstrated v2 capabilities that directly solve his pain points (multi-framework support, QSA-ready exports), with clear timeline fit for his June audit.",01KQB95605C6F873C6036285
-0.6,0.85,open_with_plan,improving,"Customer is frustrated about data loss and delayed response but Aegis team acknowledged failures, identified root cause (connector bug), and is taking ownership, moving from anger toward collaborative problem-solving.",01KQBB7C4D4789DB2F3DA9C2
-0.6,0.85,open_with_plan,improving,"Customer was angry about undisclosed March outage and current alert delays affecting regulatory compliance, but David's transparency about root cause (post-outage redistribution imbalance) and immediate offer to migrate tenants shifted the conversation from blame to solution.",01KQBBF753B44DE677670E6D
0.3,0.7,open_with_plan,improving,"Customer started angry about a 6-hour outage threatening renewal, but technical explanations, architectural fixes, and proactive config review offer shifted tone from confrontational to cautiously collaborative with clear next steps established.",01KQC1267BEB344076DD7656
-0.3,0.75,open_with_plan,improving,"Customer started frustrated after 5-day support gap on compliance-critical sync delays, but Sarah's transparency about the Detect incident connection, immediate log analysis, and concrete mitigation plan (dedicated worker + P1 escalation) shifted Derek from accusatory to cautiously receptive by call end.",01KQC166F678CBA584AAFF8B
0.75,0.3,open_with_plan,improving,"Customer (Frostbyte AI) started with frustration about their current Okta setup but became increasingly positive as Ananya demonstrated Aegis's capabilities and faster-than-expected timeline, ending with clear next steps assigned.",01KQC3A2EBC501837E973B16
0.3,0.4,open_with_plan,stable,"Customer has legitimate product gaps (session management, MFA exceptions) but Daniel acknowledged issues, committed to product manager intro, and offered integration support—Paula remained engaged and collaborative throughout.",01KQCA6EA8B603EBB6C9FE34
,0.3,resolved,stable,"Internal pre-launch checklist meeting with positive team energy, minor Safari bug being addressed same-day, all major items on track for April 7th launch with no blockers.",01KQCF9872BF130D33B1B5EC
,0.75,open_with_plan,deteriorating,"Team identified critical scalability issues (47-min queue times) requiring 6-8 weeks to fix properly, with only band-aid throttling available short-term while sales pushes growth—creating tension between known technical debt and business pressure after recent credibility damage from March outage.",01KQD1270E98A7DFC55ADCF8
0.7,0.1,open_with_plan,improving,"Customer started skeptical but is now satisfied despite a March outage, praising communication/fixes and showing interest in expanding to Identity module at renewal.",01KQD199788883B6F18C81E8
0.6,0.3,open_with_plan,stable,"Customer is highly satisfied with current products (Comply/Protect) and excited about v2 features, showing genuine interest in Detect upsell despite transparency about recent incident; renewal conversation is progressing positively with no major concerns raised.",01KQD4D9DEBA2D55AC2AA9F5
-0.3,0.85,open_with_plan,improving,"Customer started very frustrated about 3-day outage affecting HIPAA compliance but became more cooperative after Priya acknowledged Aegis fault, offered immediate manual backup workaround, and committed to written incident documentation for audit purposes.",01KQDD5172176D02DB51360A
,0.85,open_with_plan,improving,Internal post-mortem after a critical 6-hour customer-facing outage; team moved from frustration about known risks being deprioritized to concrete action items with owners and timelines.,01KQE110900B8A65D80AE694
-0.7,0.95,open_with_plan,stable,"Customer remains highly frustrated about platform outage and competitive evaluation, but accepted escalation process and committed to receiving incident report rather than threatening immediate cancellation.",01KQEDB92E33CF9945A7F71B
-0.3,0.7,open_with_plan,improving,"Customer started frustrated (second issue in weeks, evaluating competitors) but Sarah's acknowledgment of failures, concrete two-part fix, and timeline reduced tension from ~-0.6 to -0.3 by call end.",01KQEDE682B4A8D67C657CF1
,0.1,resolved,stable,"Internal retrospective celebrating successful completion of reliability sprint with team morale high, clear documentation/knowledge-sharing plans established, and proactive next steps identified for continued improvement.",01KQF9600A904ADE8605B3F0
,0.2,resolved,improving,"Internal team confidently completing SOC 2 Type II audit prep with clear timeline, resolved concerns about March outage documentation, and positive sentiment about new Comply v2 tooling eliminating previous pain points.",01KQFEEFFF8E80B0DFD10880
0.7,0.3,open_with_plan,improving,"Customer (Julia/Blackridge) entered satisfied with platform performance and became more positive when learning about upcoming Comply v2 features, though renewal terms haven't been finalized yet and follow-up documentation on the January incident was promised.",01KQFFC0F889AE8CFEE7A00D
